,date,totalLiquidityUSD,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume,Ignore
258,2020-10-23,781427241.8143653,0.408,0.41200000,0.36800000,0.37900000,9265882.73700000,1603497599999.0,3618732.63889700,16786.0,4278181.65800000,1673090.65749000,0
259,2020-10-24,777188165.2131534,0.379,0.38300000,0.35400000,0.37200000,11790315.08000000,1603583999999.0,4339711.09599000,18610.0,5685586.05300000,2094884.08810800,0
260,2020-10-26,772497347.5758446,0.337,0.44300000,0.33300000,0.40500000,28247224.06000000,1603756799999.0,11032939.70473900,40975.0,14214263.91600000,5547850.87692900,0
261,2020-10-27,602127517.6269968,0.405,0.67800000,0.38800000,0.65700000,49390447.85000000,1603843199999.0,24255313.84753200,87314.0,23351132.36700000,11435850.41183300,0
262,2020-10-28,683249124.0636734,0.657,0.66500000,0.45100000,0.49100000,39924419.64100000,1603929599999.0,21442041.41855000,83537.0,18489124.35000000,9957837.15060600,0
263,2020-10-29,685784722.6636641,0.49,0.52300000,0.42900000,0.44600000,25198499.63300000,1604015999999.0,11700584.60885200,44527.0,12364034.50400000,5745889.11597600,0
264,2020-10-30,689650626.8591665,0.445,0.46300000,0.37700000,0.39300000,24964152.66800000,1604102399999.0,10051041.57807300,38864.0,11858000.55700000,4775444.33693400,0
265,2020-10-31,690388662.3481017,0.394,0.45000000,0.39000000,0.41800000,13521422.57300000,1604188799999.0,5655532.28979600,22361.0,6819198.50400000,2853299.86478900,0
266,2020-11-01,703480647.2964592,0.416,0.42300000,0.38800000,0.40100000,8422934.80600000,1604275199999.0,3388171.58637900,14646.0,3740408.16600000,1505355.01575100,0
267,2020-11-02,698660603.2215517,0.402,0.42500000,0.35600000,0.36100000,10191779.96000000,1604361599999.0,3967330.78940000,16613.0,4176702.99700000,1632504.59769900,0
268,2020-11-02,988860442.88,0.402,0.42500000,0.35600000,0.36100000,10191779.96000000,1604361599999.0,3967330.78940000,16613.0,4176702.99700000,1632504.59769900,0
269,2020-11-03,1009794999.85,0.36,0.37000000,0.34000000,0.35600000,10354307.39900000,1604447999999.0,3651966.57180200,16279.0,4624043.27800000,1633881.28984800,0
270,2020-11-04,1013666609.77,0.356,0.37800000,0.33000000,0.34200000,10564571.63200000,1604534399999.0,3742404.71828300,16356.0,5042133.50500000,1792406.65933900,0
271,2020-11-05,1038673284.07,0.342,0.38500000,0.33100000,0.36000000,12432209.07700000,1604620799999.0,4429377.59499800,22442.0,6130176.58700000,2186241.00021200,0
272,2020-11-06,1017133064.42,0.362,0.44800000,0.35600000,0.43800000,19602793.33000000,1604707199999.0,8017380.13806900,29277.0,9796090.39500000,4002103.83463200,0
273,2020-11-07,1009235706.39,0.437,0.54800000,0.39500000,0.43000000,41314241.81600000,1604793599999.0,19154554.88838300,70831.0,20134725.11500000,9350193.04012600,0
274,2020-11-08,1032638634.99,0.429,0.49000000,0.41900000,0.47100000,18140673.75200000,1604879999999.0,8338577.92466100,30092.0,9094286.08300000,4182701.08324700,0
275,2020-11-09,1082978106.11,0.471,0.49600000,0.42200000,0.45400000,18552970.66200000,1604966399999.0,8501499.39824400,28838.0,8750079.48900000,4015387.17230800,0
276,2020-11-10,1099342718.83,0.454,0.60100000,0.44300000,0.56600000,29849299.35000000,1605052799999.0,15558302.85052900,47874.0,15129825.93100000,7911487.89967300,0
277,2020-11-11,1137550594.98,0.565,0.65500000,0.53100000,0.54400000,36501876.70600000,1605139199999.0,21635321.99962900,76717.0,17064440.87000000,10132696.97448300,0
278,2020-11-12,1146321712.74,0.544,0.59500000,0.51200000,0.56300000,21078339.49900000,1605225599999.0,11679846.19715900,46464.0,9998109.68800000,5540702.43249900,0
279,2020-11-13,1165766866.67,0.564,0.69900000,0.54600000,0.68400000,33698107.49800000,1605311999999.0,20629586.84340100,65401.0,17061125.04500000,10477102.55739500,0
280,2020-11-14,1167004167.4,0.683,0.74700000,0.59500000,0.71000000,42304852.88400000,1605398399999.0,28034127.82276200,73171.0,20167632.34000000,13382890.91700000,0
281,2020-11-15,1178501484.59,0.71,0.84500000,0.70400000,0.78000000,48454177.80100000,1605484799999.0,36980366.31413800,98536.0,24160546.19700000,18469517.33736400,0
282,2020-11-16,1255695163.27,0.779,0.84100000,0.69100000,0.82500000,34085704.25600000,1605571199999.0,26458815.08750500,76776.0,16870632.31600000,13133555.92848500,0
283,2020-11-17,1327704374.24,0.824,0.91000000,0.80200000,0.87600000,33462717.30000000,1605657599999.0,28862930.26118400,74852.0,16501911.86900000,14244807.24172000,0
284,2020-11-18,1354496312.78,0.876,0.88800000,0.69200000,0.75900000,40899603.37800000,1605743999999.0,30941396.66193600,91480.0,18803994.30300000,14207568.33252300,0
285,2020-11-19,1337828592.8,0.757,0.84500000,0.71000000,0.80100000,34517417.15000000,1605830399999.0,27063429.83362900,65566.0,17040829.63800000,13391519.87668700,0
