,_id,active,addr,createdAt,lastAt,lastPaidAt,network,rank,status,txHash,txOutIdx,ver
40,60663f93dfa630d5099fdddc,7606697,WV43FHcgrfgHEipyd89NdU4QH5ZSAYXcdN,2021-04-01T21:48:00.000Z,2021-04-01T21:46:43.000Z,2021-04-01T21:04:44.000Z,ipv4,1472,ENABLED,11946c39847b3059abe8a7c8b20566b67aca21a40b8d4b77571a5ec58ff94b06,1,70928
41,60663f93dfa630d5099fe0a2,8480748,WVWmhELoCHtswWy3c9JBTS6Di1PCNAgL2b,2021-04-01T21:48:00.000Z,2021-04-01T21:47:06.000Z,2021-04-01T21:04:27.000Z,ipv6,2182,ENABLED,9c9c324d9a8b24714e5ac987cbc15baffaedfb040993cf55ec06ae552143dd2b,1,70928
42,60663f93dfa630d5099fe192,8737991,WX298SL2GHA9s8eLkaHbEzmWaB9dT8F3Ke,2021-04-01T21:48:00.000Z,2021-04-01T21:45:45.000Z,2021-04-01T21:03:43.000Z,ipv4,2422,ENABLED,835485a8ae36480107818f0170f89492104dfc8b84674863fe74672b81884b11,1,70928
43,60663f93dfa630d5099fe272,7398827,WWmDBNmcNw5QA5yDXYnWiGHuaKoLacpgrh,2021-04-01T21:48:00.000Z,2021-04-01T21:41:48.000Z,2021-04-01T21:01:05.000Z,ipv6,2646,ENABLED,6c40c1461c9632ec6301ca51a230832cd3f901f266ac10f343e3f13484c6ffcb,0,70928
44,60663f92dfa630d5099fd8c6,7981428,WYjqSqqq9MuYFWMpwc4ZsNgv8sApLy4F85,2021-04-01T21:48:00.000Z,2021-04-01T21:40:52.000Z,2021-04-01T21:00:08.000Z,ipv6,170,ENABLED,dd308a188d32f7877af315150dc079caad80dd543b24e2bbb3374d234236a05d,0,70928
45,60663f93dfa630d5099fdb21,7606228,Wg1QLAAse39gAWCeN3hY1RZgkXf8ZHw72J,2021-04-01T21:48:00.000Z,2021-04-01T21:38:59.000Z,2021-04-01T20:59:40.000Z,ipv4,773,ENABLED,5630b250a63d93cbb3d68fdb7d8350f4b02ccf6445ecd419fa29501be7fed2b2,1,70928
46,60663f93dfa630d5099fe13b,6235141,WiW22X3ggDG2ajGmAbM8d69xvBqfSr4WJo,2021-04-01T21:48:00.000Z,2021-04-01T21:45:26.000Z,2021-04-01T20:57:45.000Z,ipv4,2335,ENABLED,05a0f9da9a2afe93e3b45e2898444d36e0b45c69b4f55f64f1bf8ff371c09e5a,0,70928
47,60663f93dfa630d5099fddf2,7959323,WkRqMuh7RVpaWJuxWcVk86Uxfa6Do6y6Pr,2021-04-01T21:48:00.000Z,2021-04-01T21:47:30.000Z,2021-04-01T20:55:52.000Z,ipv4,1494,ENABLED,de7ae17805bf24833742880ef5d3f7d2eaca45a1cb3f0b334e8fcc227f821d14,9,70928
48,60663f92dfa630d5099fd944,7965421,WcAkA4nTPaR4tkmEgBdES6GP9ttGVPQeg6,2021-04-01T21:48:00.000Z,2021-04-01T21:39:42.000Z,2021-04-01T20:55:10.000Z,ipv4,296,ENABLED,5abbda20ae263e0f77081f2e563ee8d5318bf6f078f417a9572cbbdd9febba10,0,70928
49,60663f93dfa630d5099fdd07,8591531,WZUMcUhJ6N5pxAHKgMxSag3iwj8m9VMF2r,2021-04-01T21:48:00.000Z,2021-04-01T21:44:28.000Z,2021-04-01T20:54:38.000Z,ipv6,1259,ENABLED,87d4cf246fbd68d9299db080d5429a99f2394ad34858714ef55ef1ad0b82cfd9,1,70928
